Origem;Destino;Peso;Volume;Natureza_Mercadoria;Tipo_Veiculo;Prazo_Entrega
Guarulhos-SP;Sao Bernardo do Campo-SP;317.200;6;NESTLE;Caminhao 3/4;48
Cajamar-SP;Resende-RJ;546.800;2;EPSON;Truck;48
Guarulhos-SP;Sao Joao de Meriti-RJ;46.800.000;39;DIVERSOS;Cavalo;48
Guarulhos-SP;Sao Bernardo do Campo-SP;585.450;18;NESTLE;Cavalo;48
Duque de Caxias-RJ;Sorocaba-SP;792.000;1;DIVERSOS;Toco;24
Vinhedo-SP;Aracariguama-SP;107.710;1;NESPRESSO;Toco;120
Duque de Caxias-RJ;Barueri-SP;259.780;1;EPSON;Truck;48
Guarulhos-SP;Sao Bernardo do Campo-SP;6.343.620;305;NESTLE;Cavalo;48
Guarulhos-SP;Aracariguama-SP;107.710;1;NESPRESSO;Cavalo;24
Duque de Caxias-RJ;Aracariguama-SP;9.500.000;5;NESPRESSO;Cavalo;48
Duque de Caxias-RJ;Aracariguama-SP;3.499.100;2;NESPRESSO;Cavalo;48
Guarulhos-SP;Sao Bernardo do Campo-SP;265.950;7;NESTLE;Cavalo;48
Guarulhos-SP;Sao Bernardo do Campo-SP;177.160.950;1536;NESTLE;Cavalo;48
Cordeiropolis-SP;Marilia-SP;520.000;6;NESTLE;Truck;120
Cordeiropolis-SP;Bauru-SP;17.740.430;0;NESTLE;Truck;120
Cordeiropolis-SP;Marilia-SP;280.000;15;NESTLE;Truck;120
Cordeiropolis-SP;Ribeirao Preto-SP;516.600;0;NESTLE;Truck;120
Cordeiropolis-SP;Aracatuba-SP;115.500;0;NESTLE;Truck;120
Cordeiropolis-SP;Bauru-SP;150.000;6;NESTLE;Truck;120
Resende-RJ;Joinville-SC;3.851.190;66;EPSON;Toco;120
Resende-RJ;Joinville-SC;10.006.710;155;DIVERSOS;Toco;120
Resende-RJ;Guarulhos-SP;1.760.000;5;EPSON;Toco;24
Resende-RJ;Guarulhos-SP;1.040.000;5;EPSON;Toco;24
Resende-RJ;Guarulhos-SP;4.110.000;20;EPSON;Toco;24
Resende-RJ;Guarulhos-SP;270.000;1;EPSON;Toco;24
Resende-RJ;Guarulhos-SP;50.000;1;EPSON;Toco;24
Resende-RJ;Guarulhos-SP;380.000;3;EPSON;Toco;24
Resende-RJ;Guarulhos-SP;9.440.000;32;EPSON;Toco;24
Resende-RJ;Guarulhos-SP;740.000;3;EPSON;Toco;24
Sao Bernardo do Campo-SP;Sao Paulo-SP;70.000;72;NESTLE;Fiorino /Doblo / Kan;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;1.064.900;16;NESTLE;Furgao Curto;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;104.800;8;NESTLE;Furgao Curto;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;233.200;3;NESTLE;Furgao Curto;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;65.400;1;NESTLE;Furgao Curto;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;104.800;8;NESTLE;Furgao Curto;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;170.300;9;NESTLE;Furgao Curto;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;61.200;6;NESTLE;Furgao Curto;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;78.600;6;NESTLE;Furgao Curto;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;267.500;11;NESTLE;Furgao Curto;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;267.500;11;NESTLE;Furgao Curto;48
Sao Bernardo do Campo-SP;Taubate-SP;27.695.400;543;NESTLE;Toco;72
Sao Bernardo do Campo-SP;Sao Paulo-SP;913.050;5;NESTLE;Iveco/ Master / Tran;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;230.000;4;NESTLE;Iveco/ Master / Tran;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;324.450;2;NESTLE;Iveco/ Master / Tran;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;911.700;5;NESTLE;Iveco/ Master / Tran;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;2.421.450;13;NESTLE;Iveco/ Master / Tran;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;2.264.850;12;NESTLE;Iveco/ Master / Tran;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;598.050;3;NESTLE;Iveco/ Master / Tran;48
Sao Bernardo do Campo-SP;Sao Paulo-SP;4.909.950;26;NESTLE;Iveco/ Master / Tran;48
Sao Bernardo do Campo-SP;Rio de Janeiro-RJ;71.228.100;765;NESTLE;Toco;48
Sao Bernardo do Campo-SP;Presidente Prudente-SP;1.322.110;24;NESTLE;UTILITARIO/STRADA;72
Sao Bernardo do Campo-SP;Jacarei-SP;7.888.980;690;NESTLE;Sprinter longa;72
Sao Bernardo do Campo-SP;Jacarei-SP;214.800;3;NESTLE;Truck;48
Sao Bernardo do Campo-SP;Campinas-SP;242.600;5;NESTLE;Truck;72
